nitrogen,phosphorus,potassium,crop_name,source_file,processed_date,country,agro_ecological_zone,crop_code,area_hectares,suitability_very_suitable,suitability_suitable,suitability_moderately_suitable,suitability_marginally_suitable,suitability_very_marginally_suitable,suitability_not_suitable,yield_maximum,yield_very_suitable,yield_suitable,yield_moderately_suitable,yield_marginally_suitable,yield_very_marginally_suitable,pH,organic_matter,texture_class,total_suitable_area,temperature_mean,humidity_mean,rainfall_mean,region,crop_name_clean,zone_label,total_suitable_area_calc,suitability_score,yield_score,soil_quality_index,climate_suitability,overall_suitability
50.0,15.0,100.0,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,6.0,sfl,1504.03,0.14784,226.055,464.244,241.218,79.7104,492.654,4021.0,4021.0,3301.0,2439.0,1466.0,287.0,6.5,2.0,Unknown,226.20284,,,,,sunflower,zone_6.0,1011.3752400000001,0.38028996762032674,2.1808007958219346,0.85,0.4,1.016356225794711
50.0,15.0,100.0,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,25.0,sfl,34.5454,0.278874,3.90295,12.1462,11.2324,3.29118,3.69375,4194.0,4194.0,3270.0,2511.0,1617.0,197.0,6.5,2.0,Unknown,4.181824,,,,,sunflower,zone_25.0,30.851604,0.45853138189165565,2.146590367191225,0.85,0.4,1.0373896629140298
50.0,15.0,100.0,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,26.0,sfl,253.607,50.6014,36.8051,18.3141,5.29445,62.5687,80.0228,4671.0,4018.0,3509.0,2397.0,1535.0,296.0,6.5,2.0,Unknown,87.4065,,,,,sunflower,zone_26.0,173.58374999999998,0.416650407914608,1.913209162920146,0.85,0.4,0.9506229120418871
50.0,15.0,100.0,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,28.0,sfl,18.0828,15.4098,2.673,0.0,0.0,0.0,0.0,4268.0,4267.0,3737.0,0.0,0.0,0.0,6.5,2.0,Unknown,18.0828,,,,,sunflower,zone_28.0,18.0828,0.9704359944256422,1.7002343017806936,0.85,0.4,1.108244688304465
50.0,15.0,100.0,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,33.0,sfl,65.1808,8.33957,40.0934,16.4971,0.0,0.0,0.250671,3969.0,3959.0,3160.0,2426.0,0.0,0.0,6.5,2.0,Unknown,48.43297,,,,,sunflower,zone_33.0,64.93007,0.7718921829741274,2.001158982111363,0.85,0.4,1.1191045678230598
50.0,15.0,100.0,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,35.0,sfl,9061.0,675.661,4665.42,1899.06,407.52,623.725,789.621,4716.0,4086.0,3358.0,2481.0,1518.0,269.0,6.5,2.0,Unknown,5341.081,,,,,sunflower,zone_35.0,8271.386,0.643989184416731,1.8918575063613232,0.85,0.4,1.0351529256750893
50.0,15.0,100.0,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,2.0,sfl,1.27754,0.159451,0.434176,0.670403,0.0,0.0135127,0.0,4572.0,4459.0,3216.0,2819.0,0.0,442.0,6.5,2.0,Unknown,0.593627,,,,,sunflower,zone_2.0,1.2775427,0.7136654351331466,1.9272965879265094,0.85,0.4,1.0736551504312113
50.0,15.0,100.0,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,3.0,sfl,20.4337,13.2933,6.16002,0.899774,0.0,0.0805901,0.0,4467.0,4005.0,3597.0,2450.0,0.0,238.0,6.5,2.0,Unknown,19.45332,,,,,sunflower,zone_3.0,20.4336841,0.9189377557662097,1.88050145511529,0.85,0.4,1.141725538841071
50.0,15.0,100.0,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,25.0,sfl,0.17026,0.0,0.0201604,0.14508,0.00501935,0.0,0.0,3185.0,0.0,3185.0,2445.0,1591.0,0.0,6.5,2.0,Unknown,0.0201604,,,,,sunflower,zone_25.0,0.17025975,0.6177849171854809,1.460408163265306,0.85,0.4,0.8952364158537842
50.0,15.0,100.0,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,26.0,sfl,6.26662,0.680464,0.923119,0.0990015,0.0,2.17611,2.38793,4444.0,4406.0,3597.0,2611.0,0.0,393.0,6.5,2.0,Unknown,1.603583,,,,,sunflower,zone_26.0,3.8786945,0.3053611197104659,2.0091809180918094,0.85,0.4,0.9348987233117293
50.0,15.0,100.0,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,35.0,sfl,28.1481,14.1332,7.53748,1.81426,0.00501935,2.27021,2.38793,4572.0,4029.0,3574.0,2595.0,1591.0,388.0,6.5,2.0,Unknown,21.67068,,,,,sunflower,zone_35.0,25.76016935,0.7711991125511137,2.003324584426947,0.85,0.4,1.1194770203485296
50.0,15.0,100.0,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,1.0,sfl,1179.28,700.926,382.385,32.202,5.93516,57.8332,0.0,4716.0,4628.0,3594.0,2474.0,1367.0,290.0,6.5,2.0,Unknown,1083.311,,,,,sunflower,zone_1.0,1179.2813600000002,0.8819753612373654,2.03401187446989,0.85,0.4,1.172993706835913
50.0,15.0,100.0,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,2.0,sfl,13722.9,10128.3,2059.99,674.69,0.368857,859.501,0.0,4752.0,4351.0,3437.0,2701.0,1555.0,454.0,6.5,2.0,Unknown,12188.29,,,,,sunflower,zone_2.0,13722.849857,0.9001853648135598,1.9852693602693603,0.85,0.4,1.165654954006232
50.0,15.0,100.0,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,3.0,sfl,66328.8,13115.9,41647.0,8918.17,329.349,2012.74,305.672,4564.0,4129.0,3468.0,2561.0,1607.0,307.0,6.5,2.0,Unknown,54762.9,,,,,sunflower,zone_3.0,66023.159,0.7887778702464089,2.003549517966696,0.85,0.4,1.1265760034885723
50.0,15.0,100.0,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,5.0,sfl,0.345305,0.0649022,0.280403,0.0,0.0,0.0,0.0,4568.0,4568.0,3498.0,0.0,0.0,0.0,6.5,2.0,Unknown,0.3453052,,,,,sunflower,zone_5.0,0.3453052,0.837591694299243,1.6126094570928196,0.85,0.4,1.028819514847543
50.0,15.0,100.0,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,6.0,sfl,5026.0,27.1841,1379.59,1496.13,524.643,500.934,1097.52,4226.0,3973.0,3244.0,2397.0,1513.0,229.0,6.5,2.0,Unknown,1406.7741,,,,,sunflower,zone_6.0,3928.4811,0.4652960803820135,2.0486038807382867,0.85,0.4,1.0106995963742915
50.0,15.0,100.0,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,25.0,sfl,108.266,4.20713,27.9992,34.7133,23.9744,6.9922,10.3798,4561.0,4258.0,3293.0,2482.0,1612.0,197.0,6.5,2.0,Unknown,32.20633,,,,,sunflower,zone_25.0,97.88623,0.5396215801821439,1.9876781407586055,0.85,0.4,1.022152074300439
50.0,15.0,100.0,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,26.0,sfl,2618.25,366.048,693.227,265.876,29.0549,822.497,441.55,4671.0,4205.0,3538.0,2524.0,1557.0,340.0,6.5,2.0,Unknown,1059.275,,,,,sunflower,zone_26.0,2176.7029,0.4798153575861739,1.9782915863840715,0.85,0.4,0.995413618949691
50.0,15.0,100.0,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,28.0,sfl,146.053,134.378,11.6754,0.0,0.0,0.0,0.0,4468.0,4363.0,3735.0,0.0,0.0,0.0,6.5,2.0,Unknown,146.0534,,,,,sunflower,zone_28.0,146.05339999999998,0.9840148439265197,1.6452551477170994,0.85,0.4,1.0971824818857376
50.0,15.0,100.0,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,33.0,sfl,909.435,165.523,311.749,396.648,3.51975,12.0383,19.9575,4404.0,4130.0,3374.0,2578.0,1625.0,319.0,6.5,2.0,Unknown,477.272,,,,,sunflower,zone_33.0,889.4780500000002,0.7221258913501241,2.0639872842870117,0.85,0.4,1.1180465418261532
50.0,15.0,100.0,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,35.0,sfl,90097.5,24642.5,46572.1,11818.4,916.844,4272.54,1875.08,4752.0,4237.0,3461.0,2547.0,1550.0,334.0,6.5,2.0,Unknown,71214.6,,,,,sunflower,zone_35.0,88222.38399999999,0.7792942712061932,1.9404040404040404,0.85,0.4,1.1038389206036894
50.0,15.0,100.0,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,1.0,sfl,50.4257,33.8633,12.9439,0.943665,0.137712,2.53708,0.0,4716.0,4632.0,3594.0,2501.0,1425.0,292.0,6.5,2.0,Unknown,46.8072,,,,,sunflower,zone_1.0,50.42565700000001,0.8992858760512993,2.0432994062765055,0.85,0.4,1.1827041723034712
50.0,15.0,100.0,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,2.0,sfl,519.461,362.398,70.8068,43.5552,0.0136242,42.6871,0.0,4752.0,4378.0,3365.0,2686.0,1596.0,431.0,6.5,2.0,Unknown,433.2048,,,,,sunflower,zone_2.0,519.4607242000001,0.8734427217442696,1.9794191919191921,0.85,0.4,1.1532028462734656
50.0,15.0,100.0,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,3.0,sfl,5024.5,790.196,3235.76,849.293,19.8948,124.902,4.44558,4564.0,4123.0,3418.0,2570.0,1614.0,306.0,6.5,2.0,Unknown,4025.956,,,,,sunflower,zone_3.0,5020.0458,0.7804394705940889,1.9952234881682736,0.85,0.4,1.1207428346881176
50.0,15.0,100.0,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,5.0,sfl,2.27e-08,4.26e-09,1.84e-08,0.0,0.0,0.0,0.0,4568.0,4568.0,3498.0,0.0,0.0,0.0,6.5,2.0,Unknown,2.27e-08,,,,,sunflower,zone_5.0,2.266e-08,0.8361233480176212,1.6126094570928196,0.85,0.4,1.0282321763348943
50.0,15.0,100.0,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,6.0,sfl,331.619,2.04934,117.595,98.3724,21.4267,39.1345,53.0409,4226.0,3941.0,3230.0,2380.0,1589.0,204.0,6.5,2.0,Unknown,119.64434,,,,,sunflower,zone_6.0,278.57794,0.5172995515938471,2.0419782300047324,0.85,0.4,1.0295132896389587
50.0,15.0,100.0,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,25.0,sfl,4.71593,0.131534,2.98145,1.59979,0.00314306,0.0,7.08e-06,4194.0,4194.0,3312.0,2396.0,1591.0,0.0,6.5,2.0,Unknown,3.112984,,,,,sunflower,zone_25.0,4.71591706,0.7374632838061634,2.126275631855031,0.85,0.4,1.1428680030789746
