nitrogen,phosphorus,potassium,crop_name,source_file,processed_date,country,agro_ecological_zone,crop_code,area_hectares,suitability_very_suitable,suitability_suitable,suitability_moderately_suitable,suitability_marginally_suitable,suitability_very_marginally_suitable,suitability_not_suitable,yield_maximum,yield_very_suitable,yield_suitable,yield_moderately_suitable,yield_marginally_suitable,yield_very_marginally_suitable,pH,organic_matter,texture_class,total_suitable_area,temperature_mean,humidity_mean,rainfall_mean,region
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,1,sfl,1179.28,700.926,382.385,32.202,5.93516,57.8332,0,4716,4628,3594,2474,1367,290,6.5,2,Unknown,1083.311,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,2,sfl,13722.9,10128.3,2059.99,674.69,0.368857,859.501,0,4752,4351,3437,2701,1555,454,6.5,2,Unknown,12188.29,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,3,sfl,66328.8,13115.9,41647,8918.17,329.349,2012.74,305.672,4564,4129,3468,2561,1607,307,6.5,2,Unknown,54762.9,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,5,sfl,0.345305,0.0649022,0.280403,0,0,0,0,4568,4568,3498,0,0,0,6.5,2,Unknown,0.3453052,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,6,sfl,5026,27.1841,1379.59,1496.13,524.643,500.934,1097.52,4226,3973,3244,2397,1513,229,6.5,2,Unknown,1406.7741,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,25,sfl,108.266,4.20713,27.9992,34.7133,23.9744,6.9922,10.3798,4561,4258,3293,2482,1612,197,6.5,2,Unknown,32.20633,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,26,sfl,2618.25,366.048,693.227,265.876,29.0549,822.497,441.55,4671,4205,3538,2524,1557,340,6.5,2,Unknown,1059.275,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,28,sfl,146.053,134.378,11.6754,0,0,0,0,4468,4363,3735,0,0,0,6.5,2,Unknown,146.0534,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,33,sfl,909.435,165.523,311.749,396.648,3.51975,12.0383,19.9575,4404,4130,3374,2578,1625,319,6.5,2,Unknown,477.272,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,35,sfl,90097.5,24642.5,46572.1,11818.4,916.844,4272.54,1875.08,4752,4237,3461,2547,1550,334,6.5,2,Unknown,71214.6,,,,
